Algorithm:		Bubble Sort         Merge Sort
125547754	-1805207576	-1805207576
-1724573593	-1803828860	-1803828860
1449822331	-1798818598	-1798818598
-282705688	-1792011041	-1792011041
-1469762605	-1789065161	-1789065161
-1227640241	-1783061046	-1783061046
-2047098588	-1782940739	-1782940739
-830347231	-1779539018	-1779539018
-1240385209	-1774401552	-1774401552
-1469521351	-1773161440	-1773161440
1233595740	-1772762537	-1772762537
242277033	-1760833245	-1760833245
-2020257617	-1756470057	-1756470057
1998553257	-1753477272	-1753477272
683055762	-1747064227	-1747064227
2021563178	-1739166131	-1739166131
312120329	-1735892631	-1735892631
-2093331260	-1733357080	-1733357080
769858435	-1724573593	-1724573593
-222397409	-1716697869	-1716697869
-1044735764	-1710308059	-1710308059
1044803330	-1708715886	-1708715886
619996895	-1699961893	-1699961893
1797145514	-1697526326	-1697526326
-984634935	-1691131748	-1691131748
1776743201	-1684355278	-1684355278
746912812	-1675628377	-1675628377
-685852508	-1675244625	-1675244625
708366195	-1673620763	-1673620763
663317852	-1667564318	-1667564318
371798763	-1661269742	-1661269742
920612086	-1654509999	-1654509999
454455008	-1651482699	-1651482699
-1650245923	-1650245923	-1650245923
2146801656	-1643006297	-1643006297
-76785370	-1640333604	-1640333604
-309559503	-1640055126	-1640055126
1561996655	-1636906649	-1636906649
-331137738	-1629553993	-1629553993
672210228	-1610555057	-1610555057
-1167877137	-1608290528	-1608290528
-1401798025	-1608099593	-1608099593
460775274	-1607661491	-1607661491
509541031	-1605461787	-1605461787
2100459415	-1601345982	-1601345982
1233528100	-1599643503	-1599643503
1752827495	-1592952024	-1592952024
-1445995550	-1577637163	-1577637163
449671768	-1577620488	-1577620488
1563321317	-1576080978	-1576080978
568558443	-1572503857	-1572503857
-1816003397	-1571400829	-1571400829
1028806938	-1564926521	-1564926521
1234133275	-1559439601	-1559439601
-1312886327	-1552010828	-1552010828
-1607661491	-1540953339	-1540953339
-41774910	-1531641277	-1531641277
-1559439601	-1528244969	-1528244969
-1564926521	-1527855532	-1527855532
942325773	-1513019272	-1513019272
-1552010828	-1509966302	-1509966302
811411238	-1507974993	-1507974993
493974985	-1507932290	-1507932290
1987739675	-1507300143	-1507300143
-115943528	-1506496453	-1506496453
-551163821	-1503013388	-1503013388
-1576080978	-1498552666	-1498552666
-1798818598	-1497251783	-1497251783
1310271841	-1476636393	-1476636393
-2094110516	-1471108009	-1471108009
2067324025	-1469762605	-1469762605
-2081122878	-1469521351	-1469521351
1196973451	-1452855652	-1452855652
1036785408	-1450130045	-1450130045
-2038756300	-1445995550	-1445995550
2133178740	-1445765986	-1445765986
1010253475	-1444875966	-1444875966
217580999	-1443285355	-1443285355
1831179280	-1433270529	-1433270529
-1237035250	-1431474041	-1431474041
1746826252	-1422570920	-1422570920
750518235	-1416431659	-1416431659
-1507300143	-1402232058	-1402232058
1643858112	-1401798025	-1401798025
-1240984833	-1390615397	-1390615397
1301864070	-1387949118	-1387949118
-1753477272	-1386690854	-1386690854
647242655	-1382085842	-1382085842
-666584109	-1367763621	-1367763621
-1100015715	-1363556710	-1363556710
-761324063	-1361995392	-1361995392
627374264	-1353495353	-1353495353
-1507932290	-1352672253	-1352672253
1401796268	-1351844676	-1351844676
-1110755713	-1342270335	-1342270335
1529910120	-1334386929	-1334386929
272910683	-1333621949	-1333621949
1310406002	-1330045365	-1330045365
1895912740	-1324419922	-1324419922
1578879211	-1312886327	-1312886327
472443181	-1294370404	-1294370404
-1035016305	-1290475056	-1290475056
892364534	-1286651436	-1286651436
2096082225	-1286377727	-1286377727
974969187	-1284667502	-1284667502
-550965893	-1281280652	-1281280652
-490802112	-1279478282	-1279478282
76136696	-1266901985	-1266901985
1910926749	-1263579320	-1263579320
583131834	-1260884714	-1260884714
1844118677	-1253673037	-1253673037
-1260884714	-1251245018	-1251245018
-1837099666	-1243558001	-1243558001
-2111128755	-1240984833	-1240984833
-1056857798	-1240385209	-1240385209
1976786710	-1238043206	-1238043206
326418275	-1238023185	-1238023185
510166123	-1237035250	-1237035250
-1197368891	-1230277169	-1230277169
1002740487	-1227640241	-1227640241
896591940	-1222554601	-1222554601
-2137064336	-1197368891	-1197368891
-1286377727	-1190190255	-1190190255
-365930865	-1189927118	-1189927118
1010752153	-1189154246	-1189154246
-247974379	-1180922759	-1180922759
-705001452	-1179196022	-1179196022
1660350790	-1176333052	-1176333052
717808239	-1167877137	-1167877137
805747426	-1162244613	-1162244613
2017596899	-1150924819	-1150924819
-584212927	-1150350375	-1150350375
304380251	-1149744463	-1149744463
826466528	-1146956811	-1146956811
1365919925	-1142572698	-1142572698
31429356	-1135028137	-1135028137
-480923969	-1131360332	-1131360332
337332113	-1130761429	-1130761429
218151958	-1113256553	-1113256553
498257692	-1112973742	-1112973742
1755992139	-1110755713	-1110755713
110866468	-1103157681	-1103157681
576273661	-1102106637	-1102106637
1116263011	-1100015715	-1100015715
-75458873	-1088635875	-1088635875
1730979044	-1085649359	-1085649359
-1085649359	-1083973530	-1083973530
1558500006	-1071906418	-1071906418
507861774	-1071842366	-1071842366
287417330	-1063803548	-1063803548
-1862070553	-1062543530	-1062543530
-1150924819	-1061721838	-1061721838
78780253	-1061714382	-1061714382
921878835	-1056902061	-1056902061
1527146416	-1056857798	-1056857798
473948538	-1046669969	-1046669969
1980971213	-1045673317	-1045673317
-2061896821	-1044735764	-1044735764
-424566383	-1038718283	-1038718283
578828316	-1035016305	-1035016305
1256424733	-1030815638	-1030815638
56328522	-1020004341	-1020004341
-1821193357	-1019176969	-1019176969
-863841852	-1009381913	-1009381913
143759541	-1004502416	-1004502416
2059681766	-1003895727	-1003895727
53842365	-999823971	-999823971
-1422570920	-993605377	-993605377
135315687	-992234442	-992234442
874486507	-988734422	-988734422
1037265983	-988387713	-988387713
-934955577	-984634935	-984634935
-433670537	-980361710	-980361710
139630126	-964856032	-964856032
-1950464431	-961305084	-961305084
1292668765	-958792011	-958792011
997981277	-956593477	-956593477
-920109240	-950937671	-950937671
-236255941	-938084184	-938084184
-1772762537	-934955577	-934955577
1317856969	-929441874	-929441874
-2131803582	-920963027	-920963027
158568663	-920109240	-920109240
-950937671	-919335945	-919335945
1727368806	-914633522	-914633522
1628411277	-904389292	-904389292
717111925	-900901901	-900901901
-1993296545	-889375806	-889375806
-260885534	-886811011	-886811011
515535156	-884187940	-884187940
-126689794	-883390879	-883390879
846617170	-880017879	-880017879
-929441874	-875641808	-875641808
273024340	-874505083	-874505083
274954587	-868709934	-868709934
1647907933	-865431466	-865431466
-52098558	-865160443	-865160443
1894360011	-863920512	-863920512
2047997463	-863841852	-863841852
1433381599	-859165800	-859165800
1136080675	-858040529	-858040529
-1968811730	-850843058	-850843058
-1444875966	-849956475	-849956475
410933985	-849200989	-849200989
2051732456	-846877851	-846877851
577958145	-844818658	-844818658
394874265	-842398815	-842398815
-1030815638	-840182529	-840182529
265162361	-830347231	-830347231
-796753631	-827972890	-827972890
1415298019	-820231265	-820231265
1144127762	-819972782	-819972782
722888538	-819362497	-819362497
284039300	-810977569	-810977569
-999823971	-809312256	-809312256
-192230444	-808625351	-808625351
1893521063	-800421104	-800421104
-411853531	-796753631	-796753631
51977689	-795778976	-795778976
-115080664	-786957503	-786957503
208314785	-784625438	-784625438
915760441	-764891327	-764891327
443726946	-761544917	-761544917
1102356049	-761324063	-761324063
812270696	-759737225	-759737225
645281702	-756415944	-756415944
-99317980	-755364642	-755364642
199273203	-754427477	-754427477
-380333046	-752973001	-752973001
-1651482699	-735639526	-735639526
-1697526326	-733634705	-733634705
-2137694232	-731684126	-731684126
1258257596	-719992220	-719992220
1142802437	-711235730	-711235730
1798052776	-706192657	-706192657
-699811757	-705001452	-705001452
-1083973530	-699811757	-699811757
1844596930	-698414429	-698414429
-1699961893	-686689758	-686689758
-1503013388	-685852508	-685852508
1241799012	-682314431	-682314431
-1528244969	-677238541	-677238541
-1675244625	-669565359	-669565359
-1849375299	-668143553	-668143553
-1179196022	-666584109	-666584109
722899937	-654298744	-654298744
1670936384	-653702955	-653702955
2100918694	-645752654	-645752654
238009705	-608825882	-608825882
1593831332	-604857525	-604857525
34536547	-603737357	-603737357
1180240829	-588942294	-588942294
1472977872	-584212927	-584212927
1615116738	-580082259	-580082259
-92676154	-573397787	-573397787
-863920512	-568541397	-568541397
1660811669	-564952861	-564952861
132742377	-564659418	-564659418
213434453	-564281038	-564281038
525758062	-560916550	-560916550
-307691115	-557210984	-557210984
1338407629	-551768121	-551768121
-239332129	-551163821	-551163821
-189863717	-550992414	-550992414
-1881194248	-550965893	-550965893
-1476636393	-550060598	-550060598
861052921	-548382953	-548382953
-1352672253	-531692510	-531692510
187553721	-525804813	-525804813
-1294370404	-521780474	-521780474
-1509966302	-509139890	-509139890
182391906	-504886204	-504886204
1074802021	-502136286	-502136286
513481169	-497611738	-497611738
828764711	-496494664	-496494664
1324546882	-490802112	-490802112
-2137035230	-490095953	-490095953
1009177982	-480923969	-480923969
1185108937	-480363721	-480363721
-140178795	-480289829	-480289829
-2041687054	-473213003	-473213003
-645752654	-473195025	-473195025
1236518044	-462957300	-462957300
1237789188	-462611927	-462611927
-1497251783	-457886287	-457886287
1504349430	-457858567	-457858567
365367089	-455640857	-455640857
-121026233	-455121770	-455121770
1977280892	-452045166	-452045166
11840965	-450189006	-450189006
-759737225	-445275491	-445275491
10341303	-437883955	-437883955
1225793899	-435070011	-435070011
-1506496453	-433670537	-433670537
1571711838	-424566383	-424566383
725653793	-424039692	-424039692
-964856032	-421001090	-421001090
533344779	-420858639	-420858639
1187976892	-420354846	-420354846
2120083420	-417370931	-417370931
283556265	-416473516	-416473516
-1779539018	-411853531	-411853531
-1281280652	-406802949	-406802949
1876104221	-400836572	-400836572
1031315139	-400712702	-400712702
-457858567	-393113268	-393113268
-1873915692	-391031416	-391031416
1083512969	-383954978	-383954978
-1733357080	-380333046	-380333046
747418246	-376757937	-376757937
1118711103	-371660441	-371660441
304970763	-370637228	-370637228
564326284	-366211702	-366211702
-1019176969	-365930865	-365930865
1341735179	-358499502	-358499502
481806567	-358073901	-358073901
1583460514	-349835462	-349835462
-149212929	-348824839	-348824839
49362348	-338323814	-338323814
391569679	-336095127	-336095127
-719992220	-334761328	-334761328
734926562	-331137738	-331137738
1789777681	-319986799	-319986799
1018872757	-318856465	-318856465
-1527855532	-317539908	-317539908
378040102	-310834413	-310834413
-197192370	-309559503	-309559503
-37447647	-307691115	-307691115
-886811011	-305604944	-305604944
-1960074102	-304383518	-304383518
1094384762	-303998548	-303998548
652218819	-297877036	-297877036
-195040770	-282705688	-282705688
-480363721	-268420213	-268420213
-1386690854	-260885534	-260885534
109478283	-260556268	-260556268
1972143560	-260524969	-260524969
2021340213	-253552538	-253552538
-1817678530	-251943006	-251943006
-1513019272	-247974379	-247974379
1355081126	-239332129	-239332129
-1773161440	-237118792	-237118792
-754427477	-236255941	-236255941
-733634705	-235639030	-235639030
1880369533	-222397409	-222397409
1300226330	-202784171	-202784171
930160697	-197192370	-197192370
794847309	-195040770	-195040770
1883083477	-192870497	-192870497
1820797955	-192230444	-192230444
1422484030	-189863717	-189863717
1242496063	-183891161	-183891161
637802135	-183842128	-183842128
-455640857	-180868472	-180868472
1987198892	-178992068	-178992068
428600144	-170993373	-170993373
817022744	-167184140	-167184140
-237118792	-158040389	-158040389
-1629553993	-149212929	-149212929
421847363	-140178795	-140178795
1764973141	-134597188	-134597188
1626003004	-129284178	-129284178
579908026	-128160542	-128160542
-2036620382	-126689794	-126689794
1309692032	-121026233	-121026233
1986486344	-118930666	-118930666
1274631003	-115943528	-115943528
1515216150	-115080664	-115080664
-158040389	-103365549	-103365549
-1382085842	-99317980	-99317980
676802796	-92676154	-92676154
1920256505	-85629108	-85629108
-502136286	-83973092	-83973092
939202419	-81492632	-81492632
1120719636	-81395457	-81395457
-462611927	-77646981	-77646981
-1334386929	-76788501	-76788501
-435070011	-76785370	-76785370
-1324419922	-75957408	-75957408
-1266901985	-75458873	-75458873
-2030710632	-56800180	-56800180
1940207659	-56581322	-56581322
-1774401552	-52693820	-52693820
-819362497	-52098558	-52098558
1793985628	-41774910	-41774910
-421001090	-37447647	-37447647
-1290475056	-36539619	-36539619
446983025	-33225331	-33225331
245694079	-22181146	-22181146
1714014743	-9311483	-9311483
-251943006	-3235302	-3235302
-1238023185	-88089	-88089
-2096021006	10341303	10341303
486664393	11840965	11840965
627931909	12859179	12859179
-75957408	21756691	21756691
-1608099593	31429356	31429356
1040410385	34536547	34536547
-809312256	49252440	49252440
-564659418	49362348	49362348
503638500	50329964	50329964
261019020	51977689	51977689
-371660441	53842365	53842365
-1102106637	56328522	56328522
-1251245018	58902269	58902269
612879784	63260523	63260523
1334065027	76136696	76136696
1395287458	78780253	78780253
-654298744	80162346	80162346
1004200862	80863008	80863008
-420858639	85135680	85135680
-504886204	92174446	92174446
-473213003	95623015	95623015
-820231265	101203054	101203054
-550060598	109478283	109478283
1902885496	110866468	110866468
-406802949	111457160	111457160
-1739166131	125547754	125547754
-1176333052	132742377	132742377
-81395457	134534419	134534419
-1849996463	135315687	135315687
2091108460	139630126	139630126
-1222554601	143759541	143759541
388850574	145239572	145239572
454955163	146935651	146935651
2074407385	149010984	149010984
-564952861	153432703	153432703
-22181146	155234498	155234498
-1130761429	155745371	155745371
-560916550	156258075	156258075
-1849387568	158568663	158568663
-531692510	172361294	172361294
229632907	174094216	174094216
-1279478282	182391906	182391906
667502646	187553721	187553721
-376757937	199273203	199273203
-1180922759	199983764	199983764
809925607	204483780	204483780
-993605377	208314785	208314785
1795477313	213434453	213434453
-1061714382	217580999	217580999
1348552782	218151958	218151958
-268420213	229632907	229632907
-2043120476	232938117	232938117
1831967219	238009705	238009705
-1431474041	240262017	240262017
-2105360685	242277033	242277033
-1654509999	245694079	245694079
1203749308	250051882	250051882
58902269	254021863	254021863
1785095376	254092519	254092519
-1667564318	259461478	259461478
-865431466	261019020	261019020
-1792011041	263200508	263200508
-1088635875	265162361	265162361
1243789191	265627886	265627886
-1113256553	265756330	265756330
21756691	271735831	271735831
602656731	272910683	272910683
1423300635	273024340	273024340
-1673620763	274412214	274412214
1887333994	274954587	274954587
-297877036	281086089	281086089
1613460594	283556265	283556265
-1577620488	284039300	284039300
-118930666	287417330	287417330
-731684126	290512322	290512322
-167184140	299336446	299336446
1253588963	304380251	304380251
449411928	304970763	304970763
-1864471151	308200632	308200632
92174446	312120329	312120329
-370637228	312992814	312992814
374492541	315782323	315782323
1291208451	321988595	321988595
1935123751	326418275	326418275
1851821338	337332113	337332113
1482560778	338175847	338175847
1420716564	341793796	341793796
-1684355278	352133337	352133337
-2076716569	354799734	354799734
-56581322	358412171	358412171
2104221885	365367089	365367089
1792033794	371798763	371798763
-260524969	374492541	374492541
-557210984	378040102	378040102
1495101373	385566325	385566325
-1333621949	387695923	387695923
-875641808	388850574	388850574
1337786912	389729736	389729736
1078483061	391569679	391569679
1393523943	394874265	394874265
651505643	396390791	396390791
-604857525	399713894	399713894
134534419	401168862	401168862
1289854078	410933985	410933985
1761548147	412861962	412861962
-1284667502	421847363	421847363
-603737357	428600144	428600144
-1783061046	430433921	430433921
711706412	443726946	443726946
-170993373	444240763	444240763
-764891327	445295438	445295438
-452045166	446983025	446983025
1838489398	449411928	449411928
487500498	449671768	449671768
-304383518	450780740	450780740
1042121142	454455008	454455008
-2014926094	454955163	454955163
-358499502	460775274	460775274
199983764	472443181	472443181
1876868995	473948538	473948538
204483780	481806567	481806567
-192870497	486664393	486664393
-1056902061	487500498	487500498
-1263579320	493974985	493974985
-3235302	498257692	498257692
1290541246	503638500	503638500
299336446	507121095	507121095
-880017879	507861774	507861774
663946157	508711344	508711344
-938084184	509541031	509541031
-349835462	510166123	510166123
-1189927118	513481169	513481169
1813923334	515263797	515263797
1366819459	515535156	515535156
-455121770	525758062	525758062
-1507974993	531454361	531454361
450780740	533344779	533344779
1183121939	544611390	544611390
1705645552	557647994	557647994
1844685498	564326284	564326284
156258075	566799066	566799066
1227511407	568558443	568558443
1593359382	576273661	576273661
-1810222316	577958145	577958145
-2014871008	578828316	578828316
-919335945	579908026	579908026
1089133231	583131834	583131834
-756415944	583330114	583330114
1362817347	590089292	590089292
730079621	597265355	597265355
955379548	601564183	601564183
-580082259	602656731	602656731
-1390615397	612879784	612879784
-128160542	618392499	618392499
2105011993	619996895	619996895
2048404379	626717297	626717297
1313491049	627374264	627374264
-1979854214	627931909	627931909
631617001	631090309	631090309
-842398815	631617001	631617001
-1062543530	631979737	631979737
-103365549	633984498	633984498
-1926345550	634131611	634131611
-1605461787	637802135	637802135
-840182529	642900386	642900386
1604729915	645281702	645281702
1659775333	647242655	647242655
50329964	651310722	651310722
315782323	651505643	651505643
714581313	652218819	652218819
2088488289	663317852	663317852
265756330	663946157	663946157
557647994	667502646	667502646
1940875365	672210228	672210228
1119446553	676802796	676802796
1223732060	682169948	682169948
1168385113	682519340	682519340
-1708715886	683055762	683055762
-900901901	684069521	684069521
1597977238	707146869	707146869
726589909	707217101	707217101
1892891084	708366195	708366195
1491188595	711706412	711706412
271735831	714581313	714581313
-1131360332	717111925	717111925
1587330981	717187934	717187934
-2090236776	717808239	717808239
784038372	722888538	722888538
1418762762	722899937	722899937
1723457269	725653793	725653793
749431942	726589909	726589909
1905091347	730079621	730079621
-2105364877	731547774	731547774
1592475337	734926562	734926562
1278872932	740138503	740138503
-88089	746912812	746912812
-1691131748	747418246	747418246
634131611	749431942	749431942
-2029387641	750518235	750518235
-36539619	753700135	753700135
1232098056	769858435	769858435
1619253187	781089543	781089543
-1572503857	784038372	784038372
631090309	788825131	788825131
1620650001	794847309	794847309
-920963027	805634954	805634954
-1190190255	805747426	805747426
1321414867	809925607	809925607
-761544917	811411238	811411238
-56800180	812270696	812270696
-992234442	817022744	817022744
274412214	826466528	826466528
-1004502416	828764711	828764711
-850843058	839993556	839993556
-2145053214	842566702	842566702
1795627306	846617170	846617170
49252440	859086488	859086488
-1599643503	861052921	861052921
1656147032	868437607	868437607
-235639030	868830175	868830175
1407159751	874486507	874486507
1184498005	878656133	878656133
2146873052	892155220	892155220
-1805207576	892364534	892364534
590089292	893210354	893210354
-457886287	896543925	896543925
1620226521	896591940	896591940
1179205152	904034272	904034272
-1675628377	911446884	911446884
597265355	915760441	915760441
-1540953339	920612086	920612086
80162346	921878835	921878835
1339471244	930160697	930160697
1374188611	937449519	937449519
-889375806	939202419	939202419
1425642288	942325773	942325773
-1498552666	954188690	954188690
-318856465	955379548	955379548
507121095	971721184	971721184
1939867872	974969187	974969187
-383954978	984029226	984029226
707217101	987422327	987422327
1273015807	997981277	997981277
651310722	1002740487	1002740487
-884187940	1004200862	1004200862
515263797	1009177982	1009177982
508711344	1010253475	1010253475
-85629108	1010752153	1010752153
-417370931	1016198331	1016198331
-509139890	1018872757	1018872757
1250640352	1023565939	1023565939
-1146956811	1028806938	1028806938
1256201830	1031315139	1031315139
155234498	1036785408	1036785408
-677238541	1037265983	1037265983
396390791	1039662794	1039662794
1397741609	1040410385	1040410385
-1038718283	1042121142	1042121142
859086488	1042200598	1042200598
-2041095815	1044803330	1044803330
254021863	1047291003	1047291003
633984498	1074802021	1074802021
-608825882	1078483061	1078483061
263200508	1081513692	1081513692
-874505083	1081785101	1081785101
-1636906649	1083512969	1083512969
1094998465	1089133231	1089133231
1450091925	1090114045	1090114045
-1862762238	1094384762	1094384762
-358073901	1094998465	1094998465
1509417858	1102356049	1102356049
-76788501	1111642663	1111642663
-496494664	1112671388	1112671388
-1782940739	1114879944	1114879944
-1915037737	1116263011	1116263011
-550992414	1118711103	1118711103
1470070497	1119446553	1119446553
2032873639	1120719636	1120719636
1527637478	1126565515	1126565515
254092519	1129621417	1129621417
1530634076	1133038906	1133038906
-1571400829	1136080675	1136080675
308200632	1138141133	1138141133
-33225331	1141369302	1141369302
-1149744463	1142802437	1142802437
-253552538	1144127762	1144127762
-1577637163	1161012301	1161012301
-2051484839	1161777432	1161777432
-819972782	1168385113	1168385113
444240763	1175736367	1175736367
-988734422	1176770445	1176770445
-1150350375	1179205152	1179205152
-1760833245	1180240829	1180240829
-808625351	1183121939	1183121939
1996993075	1184498005	1184498005
-1162244613	1185108937	1185108937
-178992068	1187976892	1187976892
1444190680	1188645865	1188645865
-202784171	1196973451	1196973451
-1045673317	1203749308	1203749308
1501313005	1204020074	1204020074
-1978777088	1223732060	1223732060
1126565515	1225793899	1225793899
-1747064227	1227511407	1227511407
-400712702	1232098056	1232098056
1698388675	1233528100	1233528100
-2009158587	1233595740	1233595740
-1351844676	1234133275	1234133275
2108258887	1236463782	1236463782
1864537805	1236518044	1236518044
-1947439732	1237789188	1237789188
1991607395	1241799012	1241799012
172361294	1242496063	1242496063
566799066	1243789191	1243789191
-336095127	1250640352	1250640352
1016198331	1253588963	1253588963
-1046669969	1256201830	1256201830
95623015	1256424733	1256424733
-1819301753	1258257596	1258257596
-52693820	1273015807	1273015807
-800421104	1274631003	1274631003
-303998548	1278872932	1278872932
-548382953	1289854078	1289854078
-1592952024	1290541246	1290541246
-1710308059	1291208451	1291208451
1114879944	1292668765	1292668765
-1716697869	1293389460	1293389460
1176770445	1295305771	1295305771
-1810051846	1299728011	1299728011
544611390	1300226330	1300226330
-1402232058	1301864070	1301864070
250051882	1309692032	1309692032
1175736367	1310271841	1310271841
1639494816	1310406002	1310406002
2086894826	1312732022	1312732022
-445275491	1313459409	1313459409
-961305084	1313491049	1313491049
2013742985	1317856969	1317856969
-868709934	1321414867	1321414867
1506839290	1324546882	1324546882
-1756470057	1334065027	1334065027
-1230277169	1337786912	1337786912
1129621417	1338407629	1338407629
-497611738	1339471244	1339471244
1188645865	1341735179	1341735179
-348824839	1348552782	1348552782
1047291003	1350732853	1350732853
399713894	1352883151	1352883151
-81492632	1355081126	1355081126
1984512238	1362817347	1362817347
-260556268	1365919925	1365919925
-564281038	1366819459	1366819459
1625916585	1374188611	1374188611
-706192657	1384242345	1384242345
-1936498714	1393523943	1393523943
-1610555057	1395287458	1395287458
-1847458636	1397741609	1397741609
1603648455	1399925223	1399925223
-858040529	1401796268	1401796268
-83973092	1402947919	1402947919
-9311483	1403443265	1403443265
-786957503	1407159751	1407159751
-1367763621	1408610160	1408610160
1295305771	1413821571	1413821571
684069521	1415298019	1415298019
631979737	1416940824	1416940824
1236463782	1418762762	1418762762
-310834413	1420716564	1420716564
-521780474	1422484030	1422484030
2055117237	1423300635	1423300635
-865160443	1425554469	1425554469
1413821571	1425642288	1425642288
-1135028137	1433381599	1433381599
-1416431659	1439410123	1439410123
2019653446	1444190680	1444190680
-338323814	1449822331	1449822331
987422327	1450091925	1450091925
281086089	1450260584	1450260584
707146869	1450422080	1450422080
1312732022	1470070497	1470070497
-1063803548	1472977872	1472977872
1963908131	1482560778	1482560778
240262017	1491188595	1491188595
-1020004341	1495101373	1495101373
259461478	1500226342	1500226342
265627886	1501313005	1501313005
1530276640	1503929471	1503929471
1350732853	1504349430	1504349430
-859165800	1506839290	1506839290
717187934	1509417858	1509417858
-473195025	1515216150	1515216150
1960873999	1516098232	1516098232
-1643006297	1527146416	1527146416
-391031416	1527637478	1527637478
1081513692	1529910120	1529910120
232938117	1530276640	1530276640
1897057241	1530603590	1530603590
-1286651436	1530634076	1530634076
-551768121	1539834146	1539834146
753700135	1558500006	1558500006
-1003895727	1561876971	1561876971
-2037474064	1561996655	1561996655
868437607	1563321317	1563321317
85135680	1571711838	1571711838
-334761328	1578879211	1578879211
781089543	1580369445	1580369445
1204020074	1583460514	1583460514
1111642663	1587330981	1587330981
-668143553	1592475337	1592475337
-1824011214	1593359382	1593359382
904034272	1593831332	1593831332
839993556	1596012657	1596012657
788825131	1596951968	1596951968
312992814	1597977238	1597977238
-1888146215	1603648455	1603648455
896543925	1604729915	1604729915
-2084674416	1613460594	1613460594
1402947919	1615116738	1615116738
-393113268	1618739556	1618739556
290512322	1619253187	1619253187
531454361	1620226521	1620226521
-958792011	1620650001	1620650001
-1189154246	1625916585	1625916585
1352883151	1626003004	1626003004
1735361575	1628411277	1628411277
-2089435716	1634046348	1634046348
-1661269742	1639494816	1639494816
80863008	1643858112	1643858112
1313459409	1647907933	1647907933
1516098232	1656147032	1656147032
-1471108009	1658481215	1658481215
-1601345982	1659775333	1659775333
-568541397	1660350790	1660350790
-784625438	1660811669	1660811669
-988387713	1670936384	1670936384
1416940824	1687682642	1687682642
1739937099	1698388675	1698388675
1634046348	1705645552	1705645552
-844818658	1714014743	1714014743
2066596147	1723457269	1723457269
174094216	1727368806	1727368806
1999057564	1730979044	1730979044
-1531641277	1735361575	1735361575
338175847	1739937099	1739937099
-2100284283	1746826252	1746826252
-1789065161	1752827495	1752827495
-686689758	1754530455	1754530455
-1363556710	1755992139	1755992139
1959654765	1761548147	1761548147
-134597188	1764973141	1764973141
893210354	1776743201	1776743201
868830175	1785095376	1785095376
153432703	1788939262	1788939262
-1865031181	1789777681	1789777681
1161777432	1792033794	1792033794
-1071842366	1793985628	1793985628
-437883955	1795477313	1795477313
878656133	1795627306	1795627306
-849956475	1797145514	1797145514
-573397787	1798052776	1798052776
1658481215	1806205166	1806205166
-490095953	1811540855	1811540855
155745371	1813923334	1813923334
1439410123	1820797955	1820797955
-755364642	1826178108	1826178108
-450189006	1831179280	1831179280
1141369302	1831967219	1831967219
321988595	1838489398	1838489398
